States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Punjab,,Total Kharif Pulses,1982-1983,64.30,50.10,779
Rajasthan,,Total Kharif Pulses,1982-1983,1743.10,278.60,160
Sikkim,,Total Kharif Pulses,1982-1983,5.30,4.00,755
Tamil Nadu,,Total Kharif Pulses,1982-1983,591.70,205.20,347
Tripura,,Total Kharif Pulses,1982-1983,2.60,1.10,423
Uttar Pradesh,,Total Kharif Pulses,1982-1983,690.40,613.10,888
West Bengal,,Total Kharif Pulses,1982-1983,67.70,48.50,716
India,,Total Kharif Pulses,1982-1983,10262.50,4181.00,407
Andhra Pradesh,,Total Kharif Pulses,1983-1984,968.60,322.70,333
Assam,,Total Kharif Pulses,1983-1984,10.50,7.70,733
Bihar,,Total Kharif Pulses,1983-1984,326.60,211.20,647
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1983-1984,5.30,2.30,434
Delhi,,Total Kharif Pulses,1983-1984,1.20,0.40,333
Gujarat,,Total Kharif Pulses,1983-1984,654.00,425.00,650
Haryana,,Total Kharif Pulses,1983-1984,38.70,31.00,801
Himachal Pradesh,,Total Kharif Pulses,1983-1984,34.10,9.70,284
Jammu & Kashmir,,Total Kharif Pulses,1983-1984,43.60,28.50,654
Karnataka,,Total Kharif Pulses,1983-1984,1241.90,494.00,398
Kerala,,Total Kharif Pulses,1983-1984,8.90,6.00,674
Madhya Pradesh,,Total Kharif Pulses,1983-1984,1593.40,852.30,535
Maharashtra,,Total Kharif Pulses,1983-1984,2228.40,988.90,444
Meghalaya,,Total Kharif Pulses,1983-1984,1.30,1.00,769
Odisha,,Total Kharif Pulses,1983-1984,512.30,295.90,578
Punjab,,Total Kharif Pulses,1983-1984,89.30,69.90,783
Rajasthan,,Total Kharif Pulses,1983-1984,1860.10,556.70,299
Sikkim,,Total Kharif Pulses,1983-1984,5.80,5.00,862
Tamil Nadu,,Total Kharif Pulses,1983-1984,693.90,237.50,342
Tripura,,Total Kharif Pulses,1983-1984,2.80,1.30,464
Uttar Pradesh,,Total Kharif Pulses,1983-1984,727.80,762.80,1048
West Bengal,,Total Kharif Pulses,1983-1984,75.30,56.20,746
India,,Total Kharif Pulses,1983-1984,11123.80,5366.00,482
Andhra Pradesh,,Total Kharif Pulses,1984-1985,860.30,213.90,249
Assam,,Total Kharif Pulses,1984-1985,9.90,7.20,727
Bihar,,Total Kharif Pulses,1984-1985,290.40,193.50,666
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1984-1985,5.50,2.30,418
Delhi,,Total Kharif Pulses,1984-1985,0.60,0.20,333
Gujarat,,Total Kharif Pulses,1984-1985,587.20,438.50,747
Haryana,,Total Kharif Pulses,1984-1985,33.30,24.50,736
Himachal Pradesh,,Total Kharif Pulses,1984-1985,34.80,6.60,190
Jammu & Kashmir,,Total Kharif Pulses,1984-1985,44.40,28.80,649
Karnataka,,Total Kharif Pulses,1984-1985,1120.10,425.50,380
Kerala,,Total Kharif Pulses,1984-1985,7.60,5.30,697
Madhya Pradesh,,Total Kharif Pulses,1984-1985,1552.70,686.40,442
Maharashtra,,Total Kharif Pulses,1984-1985,2141.00,861.50,402
Meghalaya,,Total Kharif Pulses,1984-1985,1.50,1.40,933
Odisha,,Total Kharif Pulses,1984-1985,442.00,267.10,604
Punjab,,Total Kharif Pulses,1984-1985,90.90,83.70,921
Rajasthan,,Total Kharif Pulses,1984-1985,1805.10,375.30,208
Sikkim,,Total Kharif Pulses,1984-1985,5.90,5.90,1000
