States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Gujarat,,Arhar (Tur/Red gram),1963-1964,89.00,46.00,516,,,,
Haryana,,Arhar (Tur/Red gram),1963-1964,1.00,1.00,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1963-1964,304.00,113.00,371,,,,
Kerala,,Arhar (Tur/Red gram),1963-1964,9.00,4.00,444,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1963-1964,395.00,244.00,618,,,,
Maharashtra,,Arhar (Tur/Red gram),1963-1964,566.00,360.00,637,,,,
Odisha,,Arhar (Tur/Red gram),1963-1964,40.00,22.00,546,,,,
Punjab,,Arhar (Tur/Red gram),1963-1964,-,1.00,-,,,,
Rajasthan,,Arhar (Tur/Red gram),1963-1964,24.00,9.00,388,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1963-1964,52.00,24.00,452,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1963-1964,634.00,336.00,530,,,,
West Bengal,,Arhar (Tur/Red gram),1963-1964,46.00,39.00,846,,,,
India,,Arhar (Tur/Red gram),1963-1964,2517.00,1380.00,549,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1964-1965,179.00,87.00,487,,,,
Assam,,Arhar (Tur/Red gram),1964-1965,3.00,2.00,693,,,,
Bihar,,Arhar (Tur/Red gram),1964-1965,157.00,139.00,883,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1964-1965,1.00,1.00,499,,,,
Gujarat,,Arhar (Tur/Red gram),1964-1965,94.00,47.00,500,,,,
Haryana,,Arhar (Tur/Red gram),1964-1965,7.00,2.00,285,,,,
Karnataka,,Arhar (Tur/Red gram),1964-1965,309.00,100.00,323,,,,
Kerala,,Arhar (Tur/Red gram),1964-1965,8.00,4.00,500,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1964-1965,428.00,303.00,709,,,,
Maharashtra,,Arhar (Tur/Red gram),1964-1965,584.00,352.00,602,,,,
Odisha,,Arhar (Tur/Red gram),1964-1965,34.00,22.00,643,,,,
Punjab,,Arhar (Tur/Red gram),1964-1965,-,1.00,-,,,,
Rajasthan,,Arhar (Tur/Red gram),1964-1965,30.00,14.00,461,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1964-1965,56.00,25.00,447,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1964-1965,639.00,760.00,1189,,,,
West Bengal,,Arhar (Tur/Red gram),1964-1965,44.00,31.00,709,,,,
India,,Arhar (Tur/Red gram),1964-1965,2578.00,1890.00,733,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1966-1967,178.50,74.20,416,,,,
Assam,,Arhar (Tur/Red gram),1966-1967,3.00,2.10,700,,,,
Bihar,,Arhar (Tur/Red gram),1966-1967,147.60,90.80,615,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1966-1967,1.10,0.80,727,,,,
Delhi ,,Arhar (Tur/Red gram),1966-1967,0.10,-,0,,,,
Gujarat,,Arhar (Tur/Red gram),1966-1967,87.50,35.90,410,,,,
Haryana,,Arhar (Tur/Red gram),1966-1967,5.50,4.30,782,,,,
Jammu & Kashmir,,Arhar (Tur/Red gram),1966-1967,0.10,-,-,,,,
Karnataka,,Arhar (Tur/Red gram),1966-1967,256.00,108.90,425,,,,
Kerala ,,Arhar (Tur/Red gram),1966-1967,8.50,4.00,471,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1966-1967,474.70,124.80,263,,,,
Maharashtra,,Arhar (Tur/Red gram),1966-1967,547.00,266.80,488,,,,
Odisha,,Arhar (Tur/Red gram),1966-1967,29.90,15.50,518,,,,
Punjab,,Arhar (Tur/Red gram),1966-1967,1.70,1.10,647,,,,
Rajasthan ,,Arhar (Tur/Red gram),1966-1967,25.30,7.50,296,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1966-1967,53.30,19.60,368,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1966-1967,664.70,340.40,512,,,,
West Bengal,,Arhar (Tur/Red gram),1966-1967,36.50,33.00,904,,,,
India                             ,,Arhar (Tur/Red gram),1966-1967,2521.00,1129.70,448,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1967-1968,178.40,84.70,475,,,,
Assam,,Arhar (Tur/Red gram),1967-1968,3.20,2.30,719,,,,
Bihar,,Arhar (Tur/Red gram),1967-1968,186.20,157.20,844,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1967-1968,1.10,0.60,545,,,,
Gujarat,,Arhar (Tur/Red gram),1967-1968,92.30,44.00,477,,,,
Haryana,,Arhar (Tur/Red gram),1967-1968,6.90,6.50,942,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1967-1968,0.20,0.10,500,,,,
Jammu & Kashmir,,Arhar (Tur/Red gram),1967-1968,0.10,0.10,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1967-1968,299.30,106.20,355,,,,
Kerala ,,Arhar (Tur/Red gram),1967-1968,7.50,3.60,480,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1967-1968,503.70,342.20,679,,,,
Maharashtra,,Arhar (Tur/Red gram),1967-1968,590.50,300.80,509,,,,
Odisha,,Arhar (Tur/Red gram),1967-1968,38.90,20.90,537,,,,
Punjab,,Arhar (Tur/Red gram),1967-1968,1.70,1.50,882,,,,
Rajasthan ,,Arhar (Tur/Red gram),1967-1968,21.40,8.80,411,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1967-1968,55.50,20.20,364,,,,
Tripura,,Arhar (Tur/Red gram),1967-1968,0.50,0.20,400,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1967-1968,636.90,609.10,956,,,,
West Bengal,,Arhar (Tur/Red gram),1967-1968,40.40,32.10,795,,,,
India                             ,,Arhar (Tur/Red gram),1967-1968,2664.70,1741.10,653,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1968-1969,175.30,85.70,489,,,,
Assam,,Arhar (Tur/Red gram),1968-1969,3.70,2.60,703,,,,
Bihar,,Arhar (Tur/Red gram),1968-1969,173.30,145.40,839,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1968-1969,1.20,0.50,417,,,,
Gujarat,,Arhar (Tur/Red gram),1968-1969,94.10,42.80,455,,,,
Haryana,,Arhar (Tur/Red gram),1968-1969,8.40,3.10,369,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1968-1969,0.20,0.10,500,,,,
Karnataka,,Arhar (Tur/Red gram),1968-1969,249.50,125.00,501,,,,
Kerala ,,Arhar (Tur/Red gram),1968-1969,7.50,3.50,467,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1968-1969,487.00,309.20,635,,,,
Maharashtra,,Arhar (Tur/Red gram),1968-1969,576.40,334.80,581,,,,
Odisha,,Arhar (Tur/Red gram),1968-1969,35.50,22.40,631,,,,
Punjab,,Arhar (Tur/Red gram),1968-1969,1.00,1.00,1000,,,,
Rajasthan ,,Arhar (Tur/Red gram),1968-1969,24.50,6.90,282,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1968-1969,50.40,18.10,359,,,,
Tripura,,Arhar (Tur/Red gram),1968-1969,0.50,0.20,400,,,,
