States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Punjab,,Arhar (Tur/Red gram),1987-1988,30.50,25.80,846,,,,
Rajasthan ,,Arhar (Tur/Red gram),1987-1988,10.50,1.50,143,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1987-1988,149.60,98.10,656,,,,
Tripura,,Arhar (Tur/Red gram),1987-1988,0.70,0.30,429,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1987-1988,513.90,604.70,1177,,,,
West Bengal,,Arhar (Tur/Red gram),1987-1988,5.60,5.00,893,,,,
India                             ,,Arhar (Tur/Red gram),1987-1988,3333.10,2282.30,685,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1988-1989,337.00,70.00,208,,,,
Assam,,Arhar (Tur/Red gram),1988-1989,8.20,5.50,671,,,,
Bihar,,Arhar (Tur/Red gram),1988-1989,67.30,74.40,1105,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1988-1989,1.90,1.40,737,,,,
Delhi ,,Arhar (Tur/Red gram),1988-1989,0.70,0.30,429,,,,
Gujarat,,Arhar (Tur/Red gram),1988-1989,336.90,250.60,744,,,,
Haryana,,Arhar (Tur/Red gram),1988-1989,44.20,48.20,1090,,,,
Karnataka,,Arhar (Tur/Red gram),1988-1989,496.90,147.90,298,,,,
Kerala ,,Arhar (Tur/Red gram),1988-1989,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1988-1989,451.70,597.60,1323,,,,
Maharashtra,,Arhar (Tur/Red gram),1988-1989,896.90,597.40,666,,,,
Meghalaya,,Arhar (Tur/Red gram),1988-1989,0.80,0.70,875,,,,
Odisha,,Arhar (Tur/Red gram),1988-1989,135.20,108.20,800,,,,
Punjab,,Arhar (Tur/Red gram),1988-1989,25.30,17.10,676,,,,
Rajasthan ,,Arhar (Tur/Red gram),1988-1989,30.70,26.10,850,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1988-1989,159.70,104.00,651,,,,
Tripura,,Arhar (Tur/Red gram),1988-1989,0.70,0.40,571,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1988-1989,487.90,661.10,1355,,,,
West Bengal,,Arhar (Tur/Red gram),1988-1989,6.50,6.60,1015,,,,
India                             ,,Arhar (Tur/Red gram),1988-1989,3488.70,2717.70,779,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1989-1990,346.50,77.80,225,,,,
Assam,,Arhar (Tur/Red gram),1989-1990,7.20,4.90,681,,,,
Bihar,,Arhar (Tur/Red gram),1989-1990,74.70,89.50,1198,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1989-1990,1.60,1.30,813,,,,
Delhi ,,Arhar (Tur/Red gram),1989-1990,0.70,0.30,429,,,,
Gujarat,,Arhar (Tur/Red gram),1989-1990,382.10,318.60,834,,,,
Haryana,,Arhar (Tur/Red gram),1989-1990,44.40,44.30,998,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1989-1990,0.60,0.10,167,,,,
Karnataka,,Arhar (Tur/Red gram),1989-1990,482.20,186.40,387,,,,
Kerala ,,Arhar (Tur/Red gram),1989-1990,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1989-1990,442.40,417.40,943,,,,
Maharashtra,,Arhar (Tur/Red gram),1989-1990,952.20,711.60,747,,,,
Meghalaya,,Arhar (Tur/Red gram),1989-1990,0.80,0.70,875,,,,
Odisha,,Arhar (Tur/Red gram),1989-1990,163.70,139.60,853,,,,
Punjab,,Arhar (Tur/Red gram),1989-1990,16.00,14.60,913,,,,
Rajasthan ,,Arhar (Tur/Red gram),1989-1990,30.90,17.30,560,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1989-1990,145.30,117.60,809,,,,
Tripura,,Arhar (Tur/Red gram),1989-1990,1.10,0.70,636,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1989-1990,502.10,598.90,1193,,,,
West Bengal,,Arhar (Tur/Red gram),1989-1990,5.00,4.80,960,,,,
India                             ,,Arhar (Tur/Red gram),1989-1990,3599.70,2746.60,763,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1990-1991,345.70,73.80,213,,,,
Assam,,Arhar (Tur/Red gram),1990-1991,7.20,4.90,681,,,,
Bihar,,Arhar (Tur/Red gram),1990-1991,66.20,82.30,1243,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1990-1991,1.60,1.40,875,,,,
Delhi ,,Arhar (Tur/Red gram),1990-1991,0.90,0.30,333,,,,
Gujarat,,Arhar (Tur/Red gram),1990-1991,401.90,352.40,877,,,,
Haryana,,Arhar (Tur/Red gram),1990-1991,52.30,49.60,948,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1990-1991,0.50,0.20,400,,,,
Karnataka,,Arhar (Tur/Red gram),1990-1991,462.60,175.30,379,,,,
Kerala ,,Arhar (Tur/Red gram),1990-1991,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1990-1991,441.80,437.00,989,,,,
Maharashtra,,Arhar (Tur/Red gram),1990-1991,1007.60,420.90,418,,,,
Meghalaya,,Arhar (Tur/Red gram),1990-1991,0.80,0.70,875,,,,
Mizoram,,Arhar (Tur/Red gram),1990-1991,0.20,0.40,2000,,,,
Nagaland,,Arhar (Tur/Red gram),1990-1991,1.10,1.00,909,,,,
Odisha,,Arhar (Tur/Red gram),1990-1991,164.70,130.20,791,,,,
Punjab,,Arhar (Tur/Red gram),1990-1991,13.60,11.20,824,,,,
Rajasthan ,,Arhar (Tur/Red gram),1990-1991,37.40,25.20,674,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1990-1991,111.90,68.50,612,,,,
Tripura,,Arhar (Tur/Red gram),1990-1991,0.90,0.60,667,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1990-1991,468.10,577.80,1234,,,,
West Bengal,,Arhar (Tur/Red gram),1990-1991,5.80,2.90,500,,,,
India                             ,,Arhar (Tur/Red gram),1990-1991,3593.00,2416.80,673,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1991-1992,339.00,119.30,352,,,,
Assam,,Arhar (Tur/Red gram),1991-1992,6.70,4.50,672,,,,
Bihar,,Arhar (Tur/Red gram),1991-1992,64.90,92.90,1431,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1991-1992,1.40,0.90,643,,,,
Delhi ,,Arhar (Tur/Red gram),1991-1992,1.00,0.30,300,,,,
Gujarat,,Arhar (Tur/Red gram),1991-1992,397.00,239.70,604,,,,
Haryana,,Arhar (Tur/Red gram),1991-1992,51.80,53.00,1023,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1991-1992,0.30,0.10,333,,,,
Karnataka,,Arhar (Tur/Red gram),1991-1992,502.80,173.40,345,,,,
Kerala ,,Arhar (Tur/Red gram),1991-1992,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1991-1992,407.20,315.30,774,,,,
Maharashtra,,Arhar (Tur/Red gram),1991-1992,1016.10,363.20,357,,,,
Meghalaya,,Arhar (Tur/Red gram),1991-1992,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1991-1992,0.50,1.20,2400,,,,
Nagaland,,Arhar (Tur/Red gram),1991-1992,1.20,0.90,750,,,,
Odisha,,Arhar (Tur/Red gram),1991-1992,168.50,129.20,767,,,,
Punjab,,Arhar (Tur/Red gram),1991-1992,12.90,12.80,992,,,,
Rajasthan ,,Arhar (Tur/Red gram),1991-1992,22.20,5.50,248,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1991-1992,105.90,57.80,546,,,,
Tripura,,Arhar (Tur/Red gram),1991-1992,0.80,0.50,625,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1991-1992,521.40,559.50,1073,,,,
West Bengal,,Arhar (Tur/Red gram),1991-1992,4.30,2.20,512,,,,
India                             ,,Arhar (Tur/Red gram),1991-1992,3627.00,2133.10,588,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1992-1993,313.50,74.70,238,,,,
Assam,,Arhar (Tur/Red gram),1992-1993,6.60,4.50,682,,,,
Bihar,,Arhar (Tur/Red gram),1992-1993,65.60,58.80,896,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1992-1993,1.80,1.20,667,,,,
Delhi ,,Arhar (Tur/Red gram),1992-1993,0.90,0.30,333,,,,
Gujarat,,Arhar (Tur/Red gram),1992-1993,408.20,340.50,834,,,,
Haryana,,Arhar (Tur/Red gram),1992-1993,53.10,55.00,1036,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1992-1993,0.30,0.10,333,,,,
Karnataka,,Arhar (Tur/Red gram),1992-1993,450.40,86.30,192,,,,
Kerala ,,Arhar (Tur/Red gram),1992-1993,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1992-1993,424.20,361.90,853,,,,
Maharashtra,,Arhar (Tur/Red gram),1992-1993,1018.40,586.50,576,,,,
Meghalaya,,Arhar (Tur/Red gram),1992-1993,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1992-1993,0.60,1.20,2000,,,,
Nagaland,,Arhar (Tur/Red gram),1992-1993,1.10,0.90,818,,,,
Odisha,,Arhar (Tur/Red gram),1992-1993,152.80,117.40,768,,,,
Punjab,,Arhar (Tur/Red gram),1992-1993,10.50,9.30,886,,,,
Rajasthan ,,Arhar (Tur/Red gram),1992-1993,20.10,10.30,512,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1992-1993,106.70,63.70,597,,,,
Tripura,,Arhar (Tur/Red gram),1992-1993,0.80,0.50,625,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1992-1993,534.30,552.30,1034,,,,
West Bengal,,Arhar (Tur/Red gram),1992-1993,4.60,4.50,978,,,,
India                             ,,Arhar (Tur/Red gram),1992-1993,3575.60,2330.80,652,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1993-1994,304.00,104.30,343,,,,
Assam,,Arhar (Tur/Red gram),1993-1994,6.60,4.50,682,,,,
Bihar,,Arhar (Tur/Red gram),1993-1994,75.90,76.90,1013,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1993-1994,1.60,1.00,625,,,,
Delhi ,,Arhar (Tur/Red gram),1993-1994,1.00,0.40,400,,,,
Gujarat,,Arhar (Tur/Red gram),1993-1994,425.90,379.90,892,,,,
Haryana,,Arhar (Tur/Red gram),1993-1994,50.50,53.10,1051,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1993-1994,0.20,0.00,0,,,,
Karnataka,,Arhar (Tur/Red gram),1993-1994,360.80,155.10,430,,,,
Kerala ,,Arhar (Tur/Red gram),1993-1994,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1993-1994,428.60,414.90,968,,,,
Maharashtra,,Arhar (Tur/Red gram),1993-1994,1030.80,752.70,730,,,,
Meghalaya,,Arhar (Tur/Red gram),1993-1994,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1993-1994,0.70,1.30,1857,,,,
Nagaland,,Arhar (Tur/Red gram),1993-1994,1.10,1.00,909,,,,
Odisha,,Arhar (Tur/Red gram),1993-1994,166.70,127.10,762,,,,
Punjab,,Arhar (Tur/Red gram),1993-1994,10.70,9.50,888,,,,
Rajasthan ,,Arhar (Tur/Red gram),1993-1994,19.10,6.80,356,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1993-1994,109.50,49.50,452,,,,
Tripura,,Arhar (Tur/Red gram),1993-1994,1.00,0.70,700,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1993-1994,529.70,547.60,1034,,,,
West Bengal,,Arhar (Tur/Red gram),1993-1994,6.20,5.30,855,,,,
India                             ,,Arhar (Tur/Red gram),1993-1994,3531.70,2692.50,762,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1994-1995,298.90,98.80,331,,,,
Assam,,Arhar (Tur/Red gram),1994-1995,6.40,4.40,688,,,,
Bihar,,Arhar (Tur/Red gram),1994-1995,73.00,79.00,1082,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1994-1995,1.80,1.50,833,,,,
Delhi ,,Arhar (Tur/Red gram),1994-1995,1.00,0.40,400,,,,
Gujarat,,Arhar (Tur/Red gram),1994-1995,360.90,230.70,639,,,,
Haryana,,Arhar (Tur/Red gram),1994-1995,36.90,35.20,954,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1994-1995,0.20,0.10,500,,,,
Karnataka,,Arhar (Tur/Red gram),1994-1995,301.90,119.30,395,,,,
Kerala ,,Arhar (Tur/Red gram),1994-1995,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1994-1995,356.50,302.30,848,,,,
Maharashtra,,Arhar (Tur/Red gram),1994-1995,1057.60,526.50,498,,,,
Meghalaya,,Arhar (Tur/Red gram),1994-1995,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1994-1995,0.60,1.30,2167,,,,
Nagaland,,Arhar (Tur/Red gram),1994-1995,1.10,0.80,727,,,,
Odisha,,Arhar (Tur/Red gram),1994-1995,166.10,126.90,764,,,,
Punjab,,Arhar (Tur/Red gram),1994-1995,10.80,10.60,981,,,,
Rajasthan ,,Arhar (Tur/Red gram),1994-1995,23.30,12.20,524,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1994-1995,94.30,77.30,820,,,,
Tripura,,Arhar (Tur/Red gram),1994-1995,1.00,0.60,600,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1994-1995,517.10,512.60,991,,,,
West Bengal,,Arhar (Tur/Red gram),1994-1995,3.80,2.40,632,,,,
India                             ,,Arhar (Tur/Red gram),1994-1995,3314.30,2143.80,647,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1995-1996,326.00,101.00,310,,,,
Assam,,Arhar (Tur/Red gram),1995-1996,6.20,4.40,710,,,,
Bihar,,Arhar (Tur/Red gram),1995-1996,71.40,66.30,929,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1995-1996,1.80,1.40,778,,,,
Delhi ,,Arhar (Tur/Red gram),1995-1996,0.70,0.30,429,,,,
Gujarat,,Arhar (Tur/Red gram),1995-1996,383.30,279.20,728,,,,
Haryana,,Arhar (Tur/Red gram),1995-1996,20.50,16.10,785,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1995-1996,0.20,0.10,500,,,,
Karnataka,,Arhar (Tur/Red gram),1995-1996,423.90,201.90,476,,,,
Kerala ,,Arhar (Tur/Red gram),1995-1996,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1995-1996,376.50,298.10,792,,,,
Maharashtra,,Arhar (Tur/Red gram),1995-1996,1051.90,627.30,596,,,,
Meghalaya,,Arhar (Tur/Red gram),1995-1996,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1995-1996,0.20,0.30,1500,,,,
Nagaland,,Arhar (Tur/Red gram),1995-1996,1.10,1.50,1364,,,,
Odisha,,Arhar (Tur/Red gram),1995-1996,166.50,126.50,760,,,,
Punjab,,Arhar (Tur/Red gram),1995-1996,9.80,8.60,878,,,,
Rajasthan ,,Arhar (Tur/Red gram),1995-1996,21.30,8.20,385,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1995-1996,84.70,62.10,733,,,,
Tripura,,Arhar (Tur/Red gram),1995-1996,0.80,0.50,625,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1995-1996,495.00,502.00,1014,,,,
West Bengal,,Arhar (Tur/Red gram),1995-1996,3.80,2.70,711,,,,
India                             ,,Arhar (Tur/Red gram),1995-1996,3446.70,2309.40,670,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1996-1997,360.00,139.00,386,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),1996-1997,0.50,0.40,800,,,,
Assam,,Arhar (Tur/Red gram),1996-1997,6.80,4.80,706,,,,
Bihar,,Arhar (Tur/Red gram),1996-1997,71.10,75.90,1068,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1996-1997,1.70,1.10,647,,,,
Delhi ,,Arhar (Tur/Red gram),1996-1997,0.30,0.10,333,,,,
Gujarat,,Arhar (Tur/Red gram),1996-1997,408.50,388.70,952,,,,
Haryana,,Arhar (Tur/Red gram),1996-1997,45.10,51.10,1133,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1996-1997,0.30,-,0,,,,
Karnataka,,Arhar (Tur/Red gram),1996-1997,445.40,228.80,514,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1996-1997,372.40,320.20,860,,,,
Maharashtra,,Arhar (Tur/Red gram),1996-1997,1047.40,716.80,684,,,,
Meghalaya,,Arhar (Tur/Red gram),1996-1997,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1996-1997,0.20,0.30,1500,,,,
Nagaland,,Arhar (Tur/Red gram),1996-1997,1.70,1.70,1000,,,,
Odisha,,Arhar (Tur/Red gram),1996-1997,123.30,68.80,558,,,,
Punjab,,Arhar (Tur/Red gram),1996-1997,12.90,10.90,845,,,,
Rajasthan ,,Arhar (Tur/Red gram),1996-1997,32.40,24.30,750,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1996-1997,82.00,57.70,704,,,,
Tripura,,Arhar (Tur/Red gram),1996-1997,0.90,0.60,667,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1996-1997,496.10,565.00,1139,,,,
West Bengal,,Arhar (Tur/Red gram),1996-1997,3.40,2.70,794,,,,
India ,,Arhar (Tur/Red gram),1996-1997,3513.30,2659.60,757,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1997-1998,319.00,57.00,179,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),1997-1998,0.40,0.40,1000,,,,
Assam,,Arhar (Tur/Red gram),1997-1998,6.60,4.70,712,,,,
Bihar,,Arhar (Tur/Red gram),1997-1998,64.90,83.70,1290,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1997-1998,1.70,1.90,1118,,,,
Delhi ,,Arhar (Tur/Red gram),1997-1998,0.40,0.10,250,,,,
Gujarat,,Arhar (Tur/Red gram),1997-1998,395.60,296.20,749,,,,
Haryana,,Arhar (Tur/Red gram),1997-1998,35.80,43.40,1212,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1997-1998,0.30,0.10,333,,,,
Karnataka,,Arhar (Tur/Red gram),1997-1998,421.80,98.50,234,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1997-1998,360.90,256.70,711,,,,
Maharashtra,,Arhar (Tur/Red gram),1997-1998,1005.60,355.10,353,,,,
Meghalaya,,Arhar (Tur/Red gram),1997-1998,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1997-1998,0.10,0.20,2000,,,,
Nagaland,,Arhar (Tur/Red gram),1997-1998,2.00,1.60,800,,,,
Odisha,,Arhar (Tur/Red gram),1997-1998,146.00,86.00,589,,,,
Punjab,,Arhar (Tur/Red gram),1997-1998,10.70,8.20,766,,,,
Rajasthan ,,Arhar (Tur/Red gram),1997-1998,45.40,35.90,791,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1997-1998,70.40,35.50,504,,,,
Tripura,,Arhar (Tur/Red gram),1997-1998,1.00,0.70,700,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1997-1998,465.60,480.70,1032,,,,
West Bengal,,Arhar (Tur/Red gram),1997-1998,3.60,2.20,611,,,,
India ,,Arhar (Tur/Red gram),1997-1998,3358.70,1849.50,551,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1998-1999,394.00,170.00,431,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),1998-1999,0.50,0.50,1000,,,,
Assam,,Arhar (Tur/Red gram),1998-1999,7.70,5.40,701,,,,
Bihar,,Arhar (Tur/Red gram),1998-1999,65.80,99.00,1505,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1998-1999,1.70,1.50,882,,,,
Delhi ,,Arhar (Tur/Red gram),1998-1999,0.20,0.10,500,,,,
Gujarat,,Arhar (Tur/Red gram),1998-1999,360.10,342.70,952,,,,
Haryana,,Arhar (Tur/Red gram),1998-1999,41.10,46.60,1134,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1998-1999,0.30,0.10,333,,,,
Karnataka,,Arhar (Tur/Red gram),1998-1999,475.40,221.50,466,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1998-1999,403.20,347.00,861,,,,
Maharashtra,,Arhar (Tur/Red gram),1998-1999,1006.70,808.90,804,,,,
Meghalaya,,Arhar (Tur/Red gram),1998-1999,0.90,0.70,778,,,,
Mizoram,,Arhar (Tur/Red gram),1998-1999,0.10,0.20,2000,,,,
Nagaland,,Arhar (Tur/Red gram),1998-1999,3.00,2.00,667,,,,
Odisha,,Arhar (Tur/Red gram),1998-1999,139.90,75.70,541,,,,
Punjab,,Arhar (Tur/Red gram),1998-1999,8.70,5.40,621,,,,
Rajasthan ,,Arhar (Tur/Red gram),1998-1999,25.20,33.30,1321,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1998-1999,74.30,47.80,643,,,,
Tripura,,Arhar (Tur/Red gram),1998-1999,0.80,0.50,625,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1998-1999,427.10,497.30,1164,,,,
West Bengal,,Arhar (Tur/Red gram),1998-1999,2.60,1.70,654,,,,
India ,,Arhar (Tur/Red gram),1998-1999,3439.30,2707.90,787,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1999-2000,432.20,154.80,358,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),1999-2000,0.50,0.50,1000,,,,
Assam,,Arhar (Tur/Red gram),1999-2000,7.00,5.00,714,,,,
Bihar,,Arhar (Tur/Red gram),1999-2000,66.50,82.10,1235,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1999-2000,1.70,1.50,882,,,,
Delhi ,,Arhar (Tur/Red gram),1999-2000,0.20,0.10,500,,,,
Gujarat,,Arhar (Tur/Red gram),1999-2000,358.00,290.80,812,,,,
Haryana,,Arhar (Tur/Red gram),1999-2000,12.40,9.90,798,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1999-2000,0.30,0.10,333,,,,
Karnataka,,Arhar (Tur/Red gram),1999-2000,508.10,289.50,570,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1999-2000,317.30,270.90,854,,,,
Maharashtra,,Arhar (Tur/Red gram),1999-2000,1041.00,868.00,834,,,,
Meghalaya,,Arhar (Tur/Red gram),1999-2000,0.90,0.60,667,,,,
Mizoram,,Arhar (Tur/Red gram),1999-2000,0.10,0.20,2000,,,,
Nagaland,,Arhar (Tur/Red gram),1999-2000,3.50,2.50,714,,,,
Odisha,,Arhar (Tur/Red gram),1999-2000,136.00,85.00,625,,,,
Punjab,,Arhar (Tur/Red gram),1999-2000,8.90,7.40,831,,,,
Rajasthan ,,Arhar (Tur/Red gram),1999-2000,25.80,15.70,609,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1999-2000,87.80,62.40,711,,,,
Tripura,,Arhar (Tur/Red gram),1999-2000,0.80,0.50,625,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1999-2000,414.70,544.00,1312,,,,
West Bengal,,Arhar (Tur/Red gram),1999-2000,3.10,2.30,742,,,,
India ,,Arhar (Tur/Red gram),1999-2000,3426.80,2693.80,786,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2000-2001,513.00,219.00,427,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2000-2001,0.50,0.40,800,,,,
Assam,,Arhar (Tur/Red gram),2000-2001,7.30,5.20,712,,,,
Bihar,,Arhar (Tur/Red gram),2000-2001,43.70,58.90,1348,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2000-2001,49.40,21.20,429,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2000-2001,1.40,1.10,786,,,,
Delhi ,,Arhar (Tur/Red gram),2000-2001,0.30,0.10,333,,,,
Gujarat,,Arhar (Tur/Red gram),2000-2001,317.90,107.20,337,,,,
Haryana,,Arhar (Tur/Red gram),2000-2001,15.10,11.60,768,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2000-2001,0.30,0.10,333,,,,
Jharkhand,,Arhar (Tur/Red gram),2000-2001,23.50,29.10,1238,,,,
Karnataka,,Arhar (Tur/Red gram),2000-2001,582.70,263.50,452,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2000-2001,312.90,210.40,672,,,,
Maharashtra,,Arhar (Tur/Red gram),2000-2001,1096.10,660.30,602,,,,
Meghalaya,,Arhar (Tur/Red gram),2000-2001,0.90,0.60,667,,,,
Mizoram,,Arhar (Tur/Red gram),2000-2001,0.10,0.30,3000,,,,
Nagaland,,Arhar (Tur/Red gram),2000-2001,4.00,3.50,875,,,,
Odisha,,Arhar (Tur/Red gram),2000-2001,149.00,75.00,503,,,,
Punjab,,Arhar (Tur/Red gram),2000-2001,8.70,7.60,874,,,,
Rajasthan ,,Arhar (Tur/Red gram),2000-2001,25.40,9.60,378,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2000-2001,63.30,45.10,712,,,,
Tripura,,Arhar (Tur/Red gram),2000-2001,1.10,0.80,727,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2000-2001,406.60,509.80,1254,,,,
West Bengal,,Arhar (Tur/Red gram),2000-2001,8.90,5.90,663,,,,
India ,,Arhar (Tur/Red gram),2000-2001,3632.10,2246.30,618,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2001-2002,420.00,188.00,448,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2001-2002,0.50,0.50,1000,,,,
Assam,,Arhar (Tur/Red gram),2001-2002,7.00,5.00,714,,,,
Bihar,,Arhar (Tur/Red gram),2001-2002,41.30,47.70,1155,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2001-2002,50.30,20.20,402,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2001-2002,1.60,1.30,813,,,,
Delhi ,,Arhar (Tur/Red gram),2001-2002,0.50,0.40,800,,,,
Gujarat,,Arhar (Tur/Red gram),2001-2002,332.30,187.00,563,,,,
Haryana,,Arhar (Tur/Red gram),2001-2002,16.50,13.40,812,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2001-2002,0.30,0.10,333,,,,
Jharkhand,,Arhar (Tur/Red gram),2001-2002,16.30,14.90,914,,,,
Karnataka,,Arhar (Tur/Red gram),2001-2002,482.10,147.40,306,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2001-2002,305.40,250.60,821,,,,
Maharashtra,,Arhar (Tur/Red gram),2001-2002,1023.00,773.00,756,,,,
Meghalaya,,Arhar (Tur/Red gram),2001-2002,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2001-2002,0.10,0.10,1000,,,,
Nagaland,,Arhar (Tur/Red gram),2001-2002,7.00,5.00,714,,,,
Odisha,,Arhar (Tur/Red gram),2001-2002,126.40,81.60,646,,,,
Punjab,,Arhar (Tur/Red gram),2001-2002,9.20,7.90,859,,,,
Rajasthan ,,Arhar (Tur/Red gram),2001-2002,23.80,13.70,576,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2001-2002,64.00,41.00,641,,,,
Tripura,,Arhar (Tur/Red gram),2001-2002,1.20,0.90,750,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2001-2002,394.20,456.20,1157,,,,
West Bengal,,Arhar (Tur/Red gram),2001-2002,3.90,3.30,846,,,,
India ,,Arhar (Tur/Red gram),2001-2002,3327.70,2259.80,679,,,,
