States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1984-1985,0.50,0.40,800
Delhi,,Total Rabi Pulses,1984-1985,2.30,1.20,522
Gujarat,,Total Rabi Pulses,1984-1985,141.30,117.40,831
Haryana,,Total Rabi Pulses,1984-1985,645.10,332.20,515
Himachal Pradesh,,Total Rabi Pulses,1984-1985,6.80,0.80,118
Jammu & Kashmir,,Total Rabi Pulses,1984-1985,3.10,2.00,645
Karnataka,,Total Rabi Pulses,1984-1985,525.40,154.90,295
Kerala,,Total Rabi Pulses,1984-1985,21.20,14.90,703
Madhya Pradesh,,Total Rabi Pulses,1984-1985,3282.20,1657.20,505
Maharashtra,,Total Rabi Pulses,1984-1985,692.40,252.80,365
Meghalaya,,Total Rabi Pulses,1984-1985,1.80,1.40,778
Mizoram,,Total Rabi Pulses,1984-1985,0.90,0.00,0
Nagaland,,Total Rabi Pulses,1984-1985,3.90,3.10,795
Odisha,,Total Rabi Pulses,1984-1985,1207.80,643.70,533
Puducherry,,Total Rabi Pulses,1984-1985,3.20,2.40,750
Punjab,,Total Rabi Pulses,1984-1985,112.80,67.70,600
Rajasthan,,Total Rabi Pulses,1984-1985,1571.80,1007.20,641
Sikkim,,Total Rabi Pulses,1984-1985,3.10,3.40,1097
Tamil Nadu,,Total Rabi Pulses,1984-1985,6.70,4.30,642
Tripura,,Total Rabi Pulses,1984-1985,3.30,1.30,394
Uttar Pradesh,,Total Rabi Pulses,1984-1985,2125.90,1790.00,842
West Bengal,,Total Rabi Pulses,1984-1985,325.80,187.80,576
India,,Total Rabi Pulses,1984-1985,12331.50,7241.60,587
Andaman & Nicobar Islands,,Total Rabi Pulses,1985-1986,0.70,0.40,571
Andhra Pradesh,,Total Rabi Pulses,1985-1986,519.10,289.30,557
Assam,,Total Rabi Pulses,1985-1986,130.30,58.70,450
Bihar,,Total Rabi Pulses,1985-1986,942.20,690.20,733
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1985-1986,0.80,0.60,750
Delhi,,Total Rabi Pulses,1985-1986,3.70,2.80,757
Gujarat,,Total Rabi Pulses,1985-1986,102.70,58.00,565
Haryana,,Total Rabi Pulses,1985-1986,795.10,642.50,808
Himachal Pradesh,,Total Rabi Pulses,1985-1986,11.10,5.60,505
Jammu & Kashmir,,Total Rabi Pulses,1985-1986,3.20,2.80,875
