States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Rajasthan,Total,Urad,1973-1974,99.00,24.00,242
Tamil Nadu,Total,Urad,1973-1974,158.00,52.00,329
Uttar Pradesh,Total,Urad,1973-1974,164.00,62.00,378
West Bengal,Total,Urad,1973-1974,203.00,80.00,394
India,Total,Urad,1973-1974,2369.00,744.00,314
Andhra Pradesh,Kharif,Urad,1974-1975,48.00,10.00,208
Bihar,Kharif,Urad,1974-1975,115.00,38.00,330
Dadra & Nagar Haveli  ,Kharif,Urad,1974-1975,2.00,1.00,500
Haryana,Kharif,Urad,1974-1975,11.00,4.00,364
Himachal Pradesh,Kharif,Urad,1974-1975,24.00,8.00,333
Jammu & Kashmir,Kharif,Urad,1974-1975,21.00,8.00,381
Karnataka,Kharif,Urad,1974-1975,38.00,9.00,237
Kerala,Kharif,Urad,1974-1975,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1974-1975,576.00,132.00,229
Maharashtra,Kharif,Urad,1974-1975,474.00,145.00,306
Punjab,Kharif,Urad,1974-1975,26.00,12.00,462
Rajasthan,Kharif,Urad,1974-1975,109.00,20.00,183
Tamil Nadu,Kharif,Urad,1974-1975,96.00,26.00,271
Uttar Pradesh,Kharif,Urad,1974-1975,151.00,58.00,384
West Bengal,Kharif,Urad,1974-1975,54.00,32.00,593
India,Kharif,Urad,1974-1975,1750.00,505.00,289
Andhra Pradesh,Rabi,Urad,1974-1975,144.00,76.00,528
Assam,Rabi,Urad,1974-1975,48.00,18.00,375
Karnataka,Rabi,Urad,1974-1975,6.00,1.00,167
Madhya Pradesh,Rabi,Urad,1974-1975,44.00,10.00,227
Maharashtra,Rabi,Urad,1974-1975,37.00,10.00,270
Puducherry,Rabi,Urad,1974-1975,3.00,2.00,667
Tripura,Rabi,Urad,1974-1975,1.00,-,-
West Bengal,Rabi,Urad,1974-1975,138.00,50.00,362
India,Rabi,Urad,1974-1975,419.00,166.00,396
Andhra Pradesh,Total,Urad,1974-1975,192.00,86.00,448
Assam,Total,Urad,1974-1975,48.00,18.00,375
Bihar,Total,Urad,1974-1975,115.00,38.00,330
Dadra & Nagar Haveli  ,Total,Urad,1974-1975,2.00,1.00,500
Haryana,Total,Urad,1974-1975,11.00,4.00,364
Himachal Pradesh,Total,Urad,1974-1975,24.00,8.00,333
Jammu & Kashmir,Total,Urad,1974-1975,21.00,8.00,381
Karnataka,Total,Urad,1974-1975,44.00,10.00,227
Kerala,Total,Urad,1974-1975,3.00,1.00,333
Madhya Pradesh,Total,Urad,1974-1975,620.00,141.00,227
Maharashtra,Total,Urad,1974-1975,511.00,154.00,301
Puducherry,Total,Urad,1974-1975,3.00,2.00,667
Punjab,Total,Urad,1974-1975,26.00,12.00,462
Rajasthan,Total,Urad,1974-1975,109.00,20.00,183
Tamil Nadu,Total,Urad,1974-1975,96.00,26.00,271
Tripura,Total,Urad,1974-1975,1.00,-,-
Uttar Pradesh,Total,Urad,1974-1975,150.00,58.00,387
West Bengal,Total,Urad,1974-1975,191.00,82.00,429
India,Total,Urad,1974-1975,2169.00,671.00,309
Andhra Pradesh,Kharif,Urad,1975-1976,42.00,7.00,167
Bihar,Kharif,Urad,1975-1976,110.00,42.00,382
Dadra & Nagar Haveli  ,Kharif,Urad,1975-1976,2.00,1.00,500
Haryana,Kharif,Urad,1975-1976,8.00,5.00,625
Himachal Pradesh,Kharif,Urad,1975-1976,26.00,9.00,346
Jammu & Kashmir,Kharif,Urad,1975-1976,24.00,9.00,375
Karnataka,Kharif,Urad,1975-1976,41.00,10.00,244
Kerala,Kharif,Urad,1975-1976,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1975-1976,561.00,169.00,301
Maharashtra,Kharif,Urad,1975-1976,475.00,164.00,345
Punjab,Kharif,Urad,1975-1976,24.00,10.00,417
Rajasthan,Kharif,Urad,1975-1976,102.00,52.00,510
Tamil Nadu,Kharif,Urad,1975-1976,92.00,21.00,228
Tripura,Kharif,Urad,1975-1976,1.00,-,-
Uttar Pradesh,Kharif,Urad,1975-1976,146.00,43.00,295
West Bengal,Kharif,Urad,1975-1976,46.00,30.00,652
India,Kharif,Urad,1975-1976,1704.00,572.00,336
Andhra Pradesh,Rabi,Urad,1975-1976,146.00,77.00,527
Assam,Rabi,Urad,1975-1976,46.00,15.00,326
Karnataka,Rabi,Urad,1975-1976,6.00,1.00,167
Madhya Pradesh,Rabi,Urad,1975-1976,72.00,15.00,208
Maharashtra,Rabi,Urad,1975-1976,34.00,11.00,324
Puducherry,Rabi,Urad,1975-1976,3.00,2.00,667
Tripura,Rabi,Urad,1975-1976,1.00,-,-
West Bengal,Rabi,Urad,1975-1976,149.00,64.00,430
India,Rabi,Urad,1975-1976,457.00,185.00,405
Andhra Pradesh,Total,Urad,1975-1976,188.00,84.00,447
Assam,Total,Urad,1975-1976,46.00,15.00,326
Bihar,Total,Urad,1975-1976,110.00,42.00,382
Dadra & Nagar Haveli  ,Total,Urad,1975-1976,2.00,1.00,500
Haryana,Total,Urad,1975-1976,8.00,5.00,625
Himachal Pradesh,Total,Urad,1975-1976,26.00,9.00,346
Jammu & Kashmir,Total,Urad,1975-1976,24.00,9.00,375
Karnataka,Total,Urad,1975-1976,47.00,11.00,234
Kerala,Total,Urad,1975-1976,3.00,1.00,333
Madhya Pradesh,Total,Urad,1975-1976,632.00,184.00,291
Maharashtra,Total,Urad,1975-1976,510.00,175.00,343
Puducherry,Total,Urad,1975-1976,3.00,2.00,667
Punjab,Total,Urad,1975-1976,24.00,10.00,417
Rajasthan,Total,Urad,1975-1976,102.00,52.00,510
Tamil Nadu,Total,Urad,1975-1976,92.00,21.00,228
Tripura,Total,Urad,1975-1976,2.00,1.00,500
Uttar Pradesh,Total,Urad,1975-1976,146.00,43.00,295
West Bengal,Total,Urad,1975-1976,196.00,93.00,474
