States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Tamil Nadu,,Total Pulses,1962-1963,396.00,106.00,268
Tripura,,Total Pulses,1962-1963,2.00,1.00,500
Uttar Pradesh,,Total Pulses,1962-1963,4587.00,3257.00,710
West Bengal,,Total Pulses,1962-1963,733.00,365.00,498
India,,Total Pulses,1962-1963,24265.00,11528.00,475
Andhra Pradesh,,Total Pulses,1963-1964,1405.00,311.00,221
Assam,,Total Pulses,1963-1964,85.00,36.00,428
Bihar,,Total Pulses,1963-1964,2250.00,1253.00,557
Dadra & Nagar Haveli  ,,Total Pulses,1963-1964,-,1.00,-
Delhi,,Total Pulses,1963-1964,30.00,12.00,505
Gujarat,,Total Pulses,1963-1964,475.00,192.00,404
Himachal Pradesh,,Total Pulses,1963-1964,28.00,8.00,286
Jammu & Kashmir,,Total Pulses,1963-1964,53.00,23.00,425
Karnataka,,Total Pulses,1963-1964,1282.00,353.00,275
Kerala,,Total Pulses,1963-1964,44.00,17.00,390
Madhya Pradesh,,Total Pulses,1963-1964,3887.00,1586.00,408
Maharashtra,,Total Pulses,1963-1964,2380.00,851.00,357
Odisha,,Total Pulses,1963-1964,842.00,434.00,515
Punjab,,Total Pulses,1963-1964,2334.00,1189.00,509
Rajasthan,,Total Pulses,1963-1964,3192.00,844.00,264
Tamil Nadu,,Total Pulses,1963-1964,412.00,108.00,262
Tripura,,Total Pulses,1963-1964,2.00,1.00,500
Uttar Pradesh,,Total Pulses,1963-1964,4719.00,2466.00,523
West Bengal,,Total Pulses,1963-1964,765.00,391.00,511
India,,Total Pulses,1963-1964,24186.00,10073.00,416
Andhra Pradesh,,Total Pulses,1964-1965,1401.00,341.00,244
Assam,,Total Pulses,1964-1965,84.00,37.00,442
Bihar,,Total Pulses,1964-1965,2209.00,1239.00,561
Dadra & Nagar Haveli  ,,Total Pulses,1964-1965,-,1.00,-
Delhi,,Total Pulses,1964-1965,20.00,12.00,600
Gujarat,,Total Pulses,1964-1965,475.00,188.00,395
Haryana,,Total Pulses,1964-1965,1344.00,987.00,734
Himachal Pradesh,,Total Pulses,1964-1965,50.00,26.00,523
Jammu & Kashmir,,Total Pulses,1964-1965,49.00,23.00,479
Karnataka,,Total Pulses,1964-1965,1198.00,341.00,285
Kerala,,Total Pulses,1964-1965,44.00,17.00,392
Madhya Pradesh,,Total Pulses,1964-1965,3922.00,1837.00,468
Maharashtra,,Total Pulses,1964-1965,2404.00,858.00,357
Odisha,,Total Pulses,1964-1965,836.00,436.00,521
Punjab,,Total Pulses,1964-1965,809.00,704.00,870
Rajasthan,,Total Pulses,1964-1965,3228.00,1139.00,353
Tamil Nadu,,Total Pulses,1964-1965,418.00,109.00,251
Tripura,,Total Pulses,1964-1965,2.00,1.00,500
Uttar Pradesh,,Total Pulses,1964-1965,4594.00,3715.00,809
West Bengal,,Total Pulses,1964-1965,787.00,405.00,515
India,,Total Pulses,1964-1965,23875.00,12417.00,520
Andhra Pradesh,,Total Pulses,1965-1966,1311.00,270.00,206
Assam,,Total Pulses,1965-1966,89.00,39.00,438
Bihar,,Total Pulses,1965-1966,2156.00,1283.00,595
Dadra & Nagar Haveli  ,,Total Pulses,1965-1966,-,1.00,-
Delhi,,Total Pulses,1965-1966,14.00,7.00,500
Gujarat,,Total Pulses,1965-1966,424.00,133.00,312
Haryana,,Total Pulses,1965-1966,939.00,420.00,448
Himachal Pradesh,,Total Pulses,1965-1966,69.00,22.00,320
Jammu & Kashmir,,Total Pulses,1965-1966,46.00,23.00,504
Karnataka,,Total Pulses,1965-1966,1319.00,352.00,267
